2026-01-17 10:49:40.094 | INFO  | [22088718-75af-44df-97a4-88444784174d] [] [46b27b61-2511-48f3-9abe-fb0e5920a79e] | http-nio-8080-exec-4 | com.gasagency.service.SaleService | Creating new sale with request: com.gasagency.dto.CreateSaleRequestDTO@51767d88
2026-01-17 10:49:40.157 | INFO  | [22088718-75af-44df-97a4-88444784174d] [] [46b27b61-2511-48f3-9abe-fb0e5920a79e] | http-nio-8080-exec-4 | c.g.service.InventoryStockService | OPERATION_SUCCESS | operation=GET_STOCK_WAREHOUSE_VARIANT_WITH_LOCK | warehouseId=2 | variantId=1 | filledQty=100 | emptyQty=0
2026-01-17 10:49:40.173 | INFO  | [22088718-75af-44df-97a4-88444784174d] [] [46b27b61-2511-48f3-9abe-fb0e5920a79e] | http-nio-8080-exec-4 | com.gasagency.service.SaleService | Sale validation complete - Total amount: 2800.00, Items: 1
2026-01-17 10:49:40.236 | INFO  | [22088718-75af-44df-97a4-88444784174d] [] [46b27b61-2511-48f3-9abe-fb0e5920a79e] | http-nio-8080-exec-4 | com.gasagency.service.SaleService | Sale created with id: 5 for customer: Tushar Rokade - Total: 2800.00
2026-01-17 10:49:40.299 | INFO  | [22088718-75af-44df-97a4-88444784174d] [] [46b27b61-2511-48f3-9abe-fb0e5920a79e] | http-nio-8080-exec-4 | c.g.service.InventoryStockService | OPERATION_SUCCESS | operation=DECREMENT_FILLED_QTY | warehouseId=2 | variantId=1 | newQty=98
2026-01-17 10:49:40.347 | INFO  | [22088718-75af-44df-97a4-88444784174d] [] [46b27b61-2511-48f3-9abe-fb0e5920a79e] | http-nio-8080-exec-4 | c.g.s.CustomerCylinderLedgerService | OPERATION_START | operation=CREATE_LEDGER_ENTRY | customerId=1 | warehouseId=2 | variantId=1
2026-01-17 10:49:40.398 | INFO  | [22088718-75af-44df-97a4-88444784174d] [] [46b27b61-2511-48f3-9abe-fb0e5920a79e] | http-nio-8080-exec-4 | c.g.s.CustomerCylinderLedgerService | OPERATION_SUCCESS | operation=CREATE_LEDGER_ENTRY | id=20 | customerId=1 | balance=14
2026-01-17 10:49:40.444 | INFO  | [22088718-75af-44df-97a4-88444784174d] [] [46b27b61-2511-48f3-9abe-fb0e5920a79e] | http-nio-8080-exec-4 | com.gasagency.service.SaleService | Sale 5 completed successfully for customer Tushar Rokade
2026-01-17 10:49:40.458 | INFO  | [22088718-75af-44df-97a4-88444784174d] [] [46b27b61-2511-48f3-9abe-fb0e5920a79e] | http-nio-8080-exec-4 | com.gasagency.service.SaleService | TRANSACTION_SUMMARY | txnId=46b27b61-2511-48f3-9abe-fb0e5920a79e | saleId=5 | customer=Tushar Rokade | amount=2800.00 | duration=350ms
2026-01-17 11:08:05.309 | INFO  | [29c187d1-31fc-4bc1-ab02-bcca36fea22e] [] [] | http-nio-8080-exec-22 | c.g.service.CylinderVariantService | OPERATION_START | operation=CREATE_VARIANT | name=19KG
2026-01-17 11:08:05.355 | INFO  | [29c187d1-31fc-4bc1-ab02-bcca36fea22e] [] [] | http-nio-8080-exec-22 | c.g.service.CylinderVariantService | OPERATION_SUCCESS | operation=CREATE_VARIANT | id=1 | name=19KG
